,City,random,Missing Rate,RMSE,MAE,R2
0,Anaheim,0,10,0.007292473877183209,0.004028348187573252,0.9813703328216251
1,Anaheim,0,20,0.014797503043120093,0.006703100837903489,0.9772606581217098
2,Anaheim,0,30,0.01781543931072431,0.008022954263292763,0.9736176927167226
3,Anaheim,0,40,0.009387613618522545,0.004760205033304208,0.9094850497532407
4,Anaheim,0,50,0.01315738794445521,0.007410448354913263,0.9661833362400207
5,Anaheim,0,60,0.020571839360881927,0.00895236325151746,0.853842763492492
6,Anaheim,0,70,0.02507268631607351,0.010896074696625192,0.8966500058448122
7,Anaheim,0,80,0.05739804216354045,0.017378633563941474,0.8006271778707947
8,Anaheim,0,90,0.042247532717912775,0.019105602465928267,0.8655699233923732
9,Anaheim,0,95,0.20069344827515018,0.05116680151024811,0.5260774369270838
10,Anaheim,0,97,0.12670387730889957,0.052208232200647235,-1.6950888874420222
11,Anaheim,5,10,0.013704813019235413,0.006659303616830804,0.9092262524408793
12,Anaheim,5,20,0.0258783116422617,0.007528910110398955,0.7734331624199691
13,Anaheim,5,30,0.009466549656448298,0.004645493887041808,0.9733685449609829
14,Anaheim,5,40,0.01344795088769204,0.006140268773604271,0.8486914414758018
15,Anaheim,5,50,0.021516044754204388,0.008105039789217106,0.9178746889343218
16,Anaheim,5,60,0.027133632269698834,0.008513789338776294,0.8790152403315967
17,Anaheim,5,70,0.011358801575956461,0.0047427423037298185,0.9466984813835813
18,Anaheim,5,80,0.015792261276613765,0.007123530092120575,0.9416701396899921
19,Anaheim,5,90,0.03969967216240606,0.019020174932319757,0.8378675243157695
20,Anaheim,5,95,0.1217276121315503,0.04455144317994393,0.6260258431072319
21,Anaheim,5,97,0.11454985347861965,0.0573839813536811,0.31679240124585084
22,Anaheim,10,10,0.03164145372956007,0.012570190211377915,0.8797917093818578
23,Anaheim,10,20,0.04088575219460656,0.018464181383785548,0.9203267521477663
24,Anaheim,10,30,0.025509591063602392,0.012063356049614919,0.9739555789428939
25,Anaheim,10,40,0.026688133818397318,0.01225026268600697,0.8672553433930028
26,Anaheim,10,50,0.02463124009300823,0.008973859262169388,0.9620866822730936
27,Anaheim,10,60,0.02336936586736653,0.009133852827780066,0.9123114194349866
28,Anaheim,10,70,0.02361278096037892,0.012537912886205144,0.9573801372787595
29,Anaheim,10,80,0.047987489496802954,0.01706435111142734,0.8330022753262125
30,Anaheim,10,90,0.042133080287819674,0.019461815158830383,0.8593398630670582
31,Anaheim,10,95,0.07668012093142534,0.03788422247446084,0.37845424593007526
32,Anaheim,10,97,0.22889707676134785,0.08087010006114312,0.4985042827900039
33,Anaheim,15,10,0.010400043400674245,0.004814478555005925,0.9651310676008141
34,Anaheim,15,20,0.026317855999182693,0.008094730628036511,0.8787637708881344
35,Anaheim,15,30,0.015766613955564533,0.006614068996501432,0.8439215172855858
36,Anaheim,15,40,0.030970674835734208,0.012694722685649855,0.726056624090491
37,Anaheim,15,50,0.02492927181130566,0.011903324936246388,0.8259839246811291
38,Anaheim,15,60,0.033595478728904796,0.0157203880827833,0.9244485030070516
39,Anaheim,15,70,0.03258590347512426,0.015914008512297628,0.9387375084622009
40,Anaheim,15,80,0.02783810802360625,0.014054762743521045,0.91755734110133
41,Anaheim,15,90,0.04665640072326461,0.019615151894755007,0.8568610373752472
42,Anaheim,15,95,0.28130396405825486,0.11068018256065335,0.5927163206716526
43,Anaheim,15,97,0.1839197804784018,0.08297535074800404,0.5876578463555063
44,Anaheim,20,10,0.013592848044442444,0.0064257362659843826,0.7873112220798508
45,Anaheim,20,20,0.011330439043352455,0.005917612285952865,0.9714988553068916
46,Anaheim,20,30,0.024076321058990005,0.007504039760469114,0.8773982246957344
47,Anaheim,20,40,0.0171811371504958,0.007728080162753704,0.9061891395988977
48,Anaheim,20,50,0.01006412056201743,0.005270408228074478,0.9457754149878846
49,Anaheim,20,60,0.03661017021069051,0.015812645843580393,0.9094034325501943
50,Anaheim,20,70,0.03169346098360727,0.0144890074026412,0.8710447698707111
51,Anaheim,20,80,0.09037574634308636,0.01909300383075547,0.7926620918291424
52,Anaheim,20,90,0.06968755561158681,0.025881221820324665,0.8331107392952047
53,Anaheim,20,95,0.16673770958423867,0.04959906745085572,0.608848101366634
54,Anaheim,20,97,0.15651426450676492,0.04740399535637521,0.530406334073015
55,Anaheim,25,10,0.01844305551621338,0.006593691354946023,0.9092544258554576
56,Anaheim,25,20,0.013459697797879346,0.006549419457839745,0.9286201722093108
57,Anaheim,25,30,0.016239278039254772,0.006465622423963254,0.9722699611004825
58,Anaheim,25,40,0.021804168782774722,0.008674009214063512,0.8830722431217536
59,Anaheim,25,50,0.03432043175925553,0.016673466635581096,0.9039310431209789
60,Anaheim,25,60,0.11474303827479453,0.025553986038920964,0.7214092510300949
61,Anaheim,25,70,0.050687113979411294,0.019536916402667876,0.8787938377277971
62,Anaheim,25,80,0.026573569746104628,0.013021734757783971,0.9093681734636991
63,Anaheim,25,90,0.3855152423067854,0.1147104698234407,0.4478493507980099
64,Anaheim,25,95,0.177470261747784,0.09518891645988416,0.7045614395769303
65,Anaheim,25,97,0.5760900271972962,0.1416937116364111,0.2690127057540046
66,Anaheim,30,10,0.07790383799797992,0.020439085203069952,0.8702909237235716
67,Anaheim,30,20,0.04153411999548229,0.017753945412288093,0.9543823092896447
68,Anaheim,30,30,0.04138178237919173,0.01745761022007456,0.9414156428926739
69,Anaheim,30,40,0.032080052214331224,0.014066793398427375,0.8287920500833235
70,Anaheim,30,50,0.022254061189509507,0.009363638176392004,0.9647117799326772
71,Anaheim,30,60,0.05793583722408485,0.019407130212452942,0.8215178054800545
