date,Optical_Depth_055,precipitation_mean,Wind speed,SoilMoi0_10cm_inst,SoilTMP0_10cm_inst,area_Water
23-Sep-17,0.873,0.436,2.37,0.106,24.737,1312.681699
23-Oct-17,0.159,1.192,2.517,0.147,19.55,1213.49545
23-Nov-17,0.165,0.468,2.13,0.183,2.652,1292.438837
23-Dec-17,0.106,0.85,2.475,0.187,2.483,1321.90772
23-Jan-18,0.156,3.137,2.088,0.225,2.159,1509.406868
23-Feb-18,0.334,1.218,2.805,0.228,9.957,2279.57585
23-Mar-18,0.4,2.114,3.158,0.22,8.174,2382.052765
23-Apr-18,0.31,3.352,2.421,0.253,14.413,2417.301598
23-May-18,0.444,0.721,2.521,0.206,40.21,2563.500395
23-Jun-18,0.767,0.012,2.899,0.13,46.483,2301.795844
23-Jul-18,0.929,0.057,2.929,0.114,46.194,1953.339937
23-Aug-18,1.013,0.084,2.666,0.109,40.984,1658.499556
23-Sep-18,0.932,0.265,2.003,0.133,27.144,1364.734921
23-Oct-18,0.113,1.834,2.672,0.18,10.331,1550.672861
23-Nov-18,0.117,2.44,2.339,0.229,-6.501,1917.779327
23-Jan-19,0.129,1.856,2.229,0.283,4.219,2472.661931
23-Feb-19,0.191,1.881,2.648,0.275,16.645,2702.064248
23-Mar-19,0.163,4.107,3.046,0.295,11.766,3379.419771
23-Apr-19,0.141,0.818,2.613,0.244,27.019,3598.707297
23-May-19,0.294,0.235,2.837,0.164,30.088,3561.341165
23-Jun-19,0.385,0.038,3.248,0.121,45.513,3509.0256
23-Jul-19,0.405,0.035,3.151,0.109,44.42,3351.680287
23-Aug-19,0.422,0.139,3.075,0.118,38.58,3187.670763
23-Sep-19,0.437,0.6,2.318,0.123,17.099,3083.019063
23-Oct-19,0.13,0.372,1.977,0.146,20.633,3044.252791
23-Nov-19,0.15,0.846,1.91,0.173,-5.377,3046.117428
23-Jan-20,0.166,1.919,3.077,0.222,-7.558,3229.704964
23-Feb-20,0.149,1.736,2.679,0.237,10.828,3300.127362
23-Mar-20,0.151,1.996,3.098,0.242,11.025,3428.152147
23-Apr-20,0.254,1.581,3.531,0.216,12.522,3585.165222
23-May-20,0.307,0.197,3.62,0.149,40.403,3499.351084
23-Jun-20,0.462,0.288,3.712,0.133,35.655,3392.577081
23-Jul-20,0.44,0.151,3.668,0.113,36.238,3227.291244
23-Aug-20,0.476,0.246,2.905,0.12,41.363,3085.284571
23-Sep-20,0.441,0.433,2.499,0.124,23.743,2986.190356
23-Oct-20,0.16,0.951,2.261,0.173,20.867,2949.407395
23-Nov-20,0.129,1.375,1.971,0.223,-2.424,3027.253724
23-Dec-20,0.134,0.865,2.587,0.226,0.214,3108.156626
23-Jan-21,0.111,1.129,2.699,0.236,11.321,3070.963658
23-Feb-21,0.202,1.137,3.276,0.239,16.08,3170.212305
23-Apr-21,0.272,1.395,3.146,0.187,18.132,3146.520654
23-May-21,0.456,0.152,3.605,0.127,46.603,3008.53709
23-Jun-21,0.568,0.116,3.534,0.111,46.713,2677.492156
23-Jul-21,0.651,0.177,3.701,0.113,42.615,2472.79751
23-Aug-21,0.683,0.004,2.862,0.1,42.844,2207.782378
