,Unnamed: 0.1,Unnamed: 0,y,number_of_beds,markaze_behdasht,number_of_labs,number_of_active_beds,number_of_employees,number_of_doctors,number_of_pir_doctors,number_of_stuff,number_of_persons_in_hotels,number_of_travels_bus_inside,number_of_travels_bus_outside,number_of_travels_minibus_inside,number_of_travels_minibus_outside,number_of_travels_car_inside,number_of_travels_car_outside,number_of_person_bus_inside,number_of_person_bus_outside,number_of_person_minibus_inside,number_of_person_minibus_outside,number_of_person_car_inside,number_of_person_car_outside,covid,month,season
0,0,1394_01,1664,2107,83,290,1747,4665,545,2421,1699,7209.152941,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,1,1
1,1,1394_02,2027,2107,83,290,1747,4665,545,2421,1699,7209.152941,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,2,1
2,2,1394_03,2186,2107,83,290,1747,4665,545,2421,1699,7209.152941,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,3,1
3,3,1394_04,1800,2107,83,290,1747,4665,545,2421,1699,7209.152941,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,4,2
4,4,1394_05,2216,2107,83,290,1747,4665,545,2421,1699,7209.152941,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,5,2
5,5,1394_06,2341,2107,83,290,1747,4665,545,2421,1699,7209.152941,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,6,2
6,6,1394_07,1971,2107,83,290,1747,4665,545,2421,1699,7209.152941,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,7,3
7,7,1394_08,2136,2107,83,290,1747,4665,545,2421,1699,7209.152941,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,8,3
8,8,1394_09,2182,2107,83,290,1747,4665,545,2421,1699,7209.152941,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,9,3
9,9,1394_10,2085,2107,83,290,1747,4665,545,2421,1699,7209.152941,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,10,4
10,10,1394_11,2272,2107,83,290,1747,4665,545,2421,1699,7209.152941,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,11,4
11,11,1394_12,2172,2107,83,290,1747,4665,545,2421,1699,3725,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,12,4
12,12,1395_01,2116,2120,83,317,1756,4571,606,2376,1589,3850,12896,54862,6783,1083,3035,2288,214739,85951,18385,15369,3517,3466,0,1,1
13,13,1395_02,2688,2120,83,317,1756,4571,606,2376,1589,3921,12896,54862,6783,1083,3035,2288,214739,85951,18385,15369,3517,3466,0,2,1
14,14,1395_03,2912,2120,83,317,1756,4571,606,2376,1589,3991,12896,54862,6783,1083,3035,2288,214739,85951,18385,15369,3517,3466,0,3,1
15,15,1395_04,2387,2120,83,317,1756,4571,606,2376,1589,4315,12896,54862,6783,1083,3035,2288,214739,85951,18385,15369,3517,3466,0,4,2
16,16,1395_05,2864,2120,83,317,1756,4571,606,2376,1589,4412,12896,54862,6783,1083,3035,2288,214739,85951,18385,15369,3517,3466,0,5,2
17,17,1395_06,2563,2120,83,317,1756,4571,606,2376,1589,4578,12896,54862,6783,1083,3035,2288,214739,85951,18385,15369,3517,3466,0,6,2
18,18,1395_07,2408,2120,83,317,1756,4571,606,2376,1589,4717,12896,54862,6783,1083,3035,2288,214739,85951,18385,15369,3517,3466,0,7,3
19,19,1395_08,2608,2120,83,317,1756,4571,606,2376,1589,4789,12896,54862,6783,1083,3035,2288,214739,85951,18385,15369,3517,3466,0,8,3
20,20,1395_09,2281,2120,83,317,1756,4571,606,2376,1589,4827,12896,54862,6783,1083,3035,2288,214739,85951,18385,15369,3517,3466,0,9,3
21,21,1395_10,2386,2120,83,317,1756,4571,606,2376,1589,4896,12896,54862,6783,1083,3035,2288,214739,85951,18385,15369,3517,3466,0,10,4
22,22,1395_11,2286,2120,83,317,1756,4571,606,2376,1589,4932,12896,54862,6783,1083,3035,2288,214739,85951,18385,15369,3517,3466,0,11,4
23,23,1395_12,2210,2120,83,317,1756,4571,606,2376,1589,4992,12896,54862,6783,1083,3035,2288,214739,85951,18385,15369,3517,3466,0,12,4
24,24,1396_01,1828,2307,82,338,1938,4662,607,2544,1511,5086,12793,55910,10508,1123,3310,2532,228844,856016,23942,14291,3865,3813,0,1,1
25,25,1396_02,2565,2307,82,338,1938,4662,607,2544,1511,5112,12793,55910,10508,1123,3310,2532,228844,856016,23942,14291,3865,3813,0,2,1
26,26,1396_03,2347,2307,82,338,1938,4662,607,2544,1511,5139,12793,55910,10508,1123,3310,2532,228844,856016,23942,14291,3865,3813,0,3,1
