,Unnamed: 0.1,Unnamed: 0,y,number_of_beds,markaze_behdasht,number_of_labs,number_of_active_beds,number_of_employees,number_of_doctors,number_of_pir_doctors,number_of_stuff,number_of_persons_in_hotels,number_of_travels_bus_inside,number_of_travels_bus_outside,number_of_travels_minibus_inside,number_of_travels_minibus_outside,number_of_travels_car_inside,number_of_travels_car_outside,number_of_person_bus_inside,number_of_person_bus_outside,number_of_person_minibus_inside,number_of_person_minibus_outside,number_of_person_car_inside,number_of_person_car_outside,covid,month,season
0,0,1394_01,1664.0,2107.0,83.0,290.0,1747.0,4665.0,545.0,2421.0,1699.0,7209.15294117647,9496.0,39120.0,1949.0,733.0,615.0,1565.0,155352.0,618303.0,12874.0,9411.0,755.0,2500.0,0.0,1,1
1,1,1394_02,2027.0,2107.0,83.0,290.0,1747.0,4665.0,545.0,2421.0,1699.0,7209.15294117647,9496.0,39120.0,1949.0,733.0,615.0,1565.0,155352.0,618303.0,12874.0,9411.0,755.0,2500.0,0.0,2,1
2,2,1394_03,2186.0,2107.0,83.0,290.0,1747.0,4665.0,545.0,2421.0,1699.0,7209.15294117647,9496.0,39120.0,1949.0,733.0,615.0,1565.0,155352.0,618303.0,12874.0,9411.0,755.0,2500.0,0.0,3,1
3,3,1394_04,1800.0,2107.0,83.0,290.0,1747.0,4665.0,545.0,2421.0,1699.0,7209.15294117647,9496.0,39120.0,1949.0,733.0,615.0,1565.0,155352.0,618303.0,12874.0,9411.0,755.0,2500.0,0.0,4,2
4,4,1394_05,2216.0,2107.0,83.0,290.0,1747.0,4665.0,545.0,2421.0,1699.0,7209.15294117647,9496.0,39120.0,1949.0,733.0,615.0,1565.0,155352.0,618303.0,12874.0,9411.0,755.0,2500.0,0.0,5,2
5,5,1394_06,2341.0,2107.0,83.0,290.0,1747.0,4665.0,545.0,2421.0,1699.0,7209.15294117647,9496.0,39120.0,1949.0,733.0,615.0,1565.0,155352.0,618303.0,12874.0,9411.0,755.0,2500.0,0.0,6,2
6,6,1394_07,1971.0,2107.0,83.0,290.0,1747.0,4665.0,545.0,2421.0,1699.0,7209.15294117647,9496.0,39120.0,1949.0,733.0,615.0,1565.0,155352.0,618303.0,12874.0,9411.0,755.0,2500.0,0.0,7,3
7,7,1394_08,2136.0,2107.0,83.0,290.0,1747.0,4665.0,545.0,2421.0,1699.0,7209.15294117647,9496.0,39120.0,1949.0,733.0,615.0,1565.0,155352.0,618303.0,12874.0,9411.0,755.0,2500.0,0.0,8,3
8,8,1394_09,2182.0,2107.0,83.0,290.0,1747.0,4665.0,545.0,2421.0,1699.0,7209.15294117647,9496.0,39120.0,1949.0,733.0,615.0,1565.0,155352.0,618303.0,12874.0,9411.0,755.0,2500.0,0.0,9,3
9,9,1394_10,2085.0,2107.0,83.0,290.0,1747.0,4665.0,545.0,2421.0,1699.0,7209.15294117647,9496.0,39120.0,1949.0,733.0,615.0,1565.0,155352.0,618303.0,12874.0,9411.0,755.0,2500.0,0.0,10,4
