,Date,y,number_of_beds,markaze_behdasht,number_of_labs,number_of_active_beds,number_of_employees,number_of_doctors,number_of_pir_doctors,number_of_stuff,number_of_persons_in_hotels,number_of_travels_bus_inside,number_of_travels_bus_outside,number_of_travels_minibus_inside,number_of_travels_minibus_outside,number_of_travels_car_inside,number_of_travels_car_outside,number_of_person_bus_inside,number_of_person_bus_outside,number_of_person_minibus_inside,number_of_person_minibus_outside,number_of_person_car_inside,number_of_person_car_outside,covid,month,season,y_last
0,1394-01,1664,2107,83,290,1747,4665,545,2421,1699,2500,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,1,1,2615.442105
1,1394-02,2027,2107,83,290,1747,4665,545,2421,1699,2500,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,2,1,1664
2,1394-03,2186,2107,83,290,1747,4665,545,2421,1699,2700,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,3,1,2027
3,1394-04,1800,2107,83,290,1747,4665,545,2421,1699,2700,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,4,2,2186
4,1394-05,2216,2107,83,290,1747,4665,545,2421,1699,2700,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,5,2,1800
5,1394-06,2341,2107,83,290,1747,4665,545,2421,1699,3100,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,6,2,2216
6,1394-07,1971,2107,83,290,1747,4665,545,2421,1699,3100,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,7,3,2341
7,1394-08,2136,2107,83,290,1747,4665,545,2421,1699,3500,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,8,3,1971
8,1394-09,2182,2107,83,290,1747,4665,545,2421,1699,3500,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,9,3,2136
9,1394-10,2085,2107,83,290,1747,4665,545,2421,1699,3725,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,10,4,2182
10,1394-11,2272,2107,83,290,1747,4665,545,2421,1699,3725,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,11,4,2085
11,1394-12,2172,2107,83,290,1747,4665,545,2421,1699,3725,9496,39120,1949,733,615,1565,155352,618303,12874,9411,755,2500,0,12,4,2272
12,1395-01,2116,2120,83,317,1756,4571,606,2376,1589,3850,12896,54862,6783,1083,3035,2288,214739,859510,18385,15369,3517,3466,0,1,1,2172
13,1395-02,2688,2120,83,317,1756,4571,606,2376,1589,3921,12896,54862,6783,1083,3035,2288,214739,859510,18385,15369,3517,3466,0,2,1,2116
14,1395-03,2912,2120,83,317,1756,4571,606,2376,1589,3991,12896,54862,6783,1083,3035,2288,214739,859510,18385,15369,3517,3466,0,3,1,2688
15,1395-04,2387,2120,83,317,1756,4571,606,2376,1589,4315,12896,54862,6783,1083,3035,2288,214739,859510,18385,15369,3517,3466,0,4,2,2912
16,1395-05,2864,2120,83,317,1756,4571,606,2376,1589,4412,12896,54862,6783,1083,3035,2288,214739,859510,18385,15369,3517,3466,0,5,2,2387
17,1395-06,2563,2120,83,317,1756,4571,606,2376,1589,4578,12896,54862,6783,1083,3035,2288,214739,859510,18385,15369,3517,3466,0,6,2,2864
18,1395-07,2408,2120,83,317,1756,4571,606,2376,1589,4717,12896,54862,6783,1083,3035,2288,214739,859510,18385,15369,3517,3466,0,7,3,2563
19,1395-08,2608,2120,83,317,1756,4571,606,2376,1589,4789,12896,54862,6783,1083,3035,2288,214739,859510,18385,15369,3517,3466,0,8,3,2408
20,1395-09,2281,2120,83,317,1756,4571,606,2376,1589,4827,12896,54862,6783,1083,3035,2288,214739,859510,18385,15369,3517,3466,0,9,3,2608
21,1395-10,2386,2120,83,317,1756,4571,606,2376,1589,4896,12896,54862,6783,1083,3035,2288,214739,859510,18385,15369,3517,3466,0,10,4,2281
22,1395-11,2286,2120,83,317,1756,4571,606,2376,1589,4932,12896,54862,6783,1083,3035,2288,214739,859510,18385,15369,3517,3466,0,11,4,2386
23,1395-12,2210,2120,83,317,1756,4571,606,2376,1589,4992,12896,54862,6783,1083,3035,2288,214739,859510,18385,15369,3517,3466,0,12,4,2286
24,1396-01,1828,2307,82,338,1938,4662,607,2544,1511,5086,12793,55910,10508,1123,3310,2532,228844,856016,23942,14291,3865,3813,0,1,1,2210
25,1396-02,2565,2307,82,338,1938,4662,607,2544,1511,5112,12793,55910,10508,1123,3310,2532,228844,856016,23942,14291,3865,3813,0,2,1,1828
26,1396-03,2347,2307,82,338,1938,4662,607,2544,1511,5139,12793,55910,10508,1123,3310,2532,228844,856016,23942,14291,3865,3813,0,3,1,2565
27,1396-04,2727,2307,82,338,1938,4662,607,2544,1511,5189,12793,55910,10508,1123,3310,2532,228844,856016,23942,14291,3865,3813,0,4,2,2347
28,1396-05,2945,2307,82,338,1938,4662,607,2544,1511,5207,12793,55910,10508,1123,3310,2532,228844,856016,23942,14291,3865,3813,0,5,2,2727
29,1396-06,2781,2307,82,338,1938,4662,607,2544,1511,5259,12793,55910,10508,1123,3310,2532,228844,856016,23942,14291,3865,3813,0,6,2,2945
30,1396-07,2532,2307,82,338,1938,4662,607,2544,1511,5298,12793,55910,10508,1123,3310,2532,228844,856016,23942,14291,3865,3813,0,7,3,2781
31,1396-08,2532,2307,82,338,1938,4662,607,2544,1511,5311,12793,55910,10508,1123,3310,2532,228844,856016,23942,14291,3865,3813,0,8,3,2532
32,1396-09,2556,2307,82,338,1938,4662,607,2544,1511,5330,12793,55910,10508,1123,3310,2532,228844,856016,23942,14291,3865,3813,0,9,3,2532
33,1396-10,2691,2307,82,338,1938,4662,607,2544,1511,5339,12793,55910,10508,1123,3310,2532,228844,856016,23942,14291,3865,3813,0,10,4,2556
34,1396-11,2725,2307,82,338,1938,4662,607,2544,1511,5342,12793,55910,10508,1123,3310,2532,228844,856016,23942,14291,3865,3813,0,11,4,2691
35,1396-12,2463,2307,82,338,1938,4662,607,2544,1511,5342,12793,55910,10508,1123,3310,2532,228844,856016,23942,14291,3865,3813,0,12,4,2725
36,1397-01,2118,2308,85,354,1896,4651,658,2531,1462,5371,12321,60523,9053,1062,2486,3184,196746,914433,20403,11904,2652,4675,0,1,1,2463
37,1397-02,3040,2308,85,354,1896,4651,658,2531,1462,5512,12321,60523,9053,1062,2486,3184,196746,914433,20403,11904,2652,4675,0,2,1,2118
38,1397-03,2489,2308,85,354,1896,4651,658,2531,1462,5608,12321,60523,9053,1062,2486,3184,196746,914433,20403,11904,2652,4675,0,3,1,3040
